feature_name,data_type,encoding_method,group,description
f_ImportsList_open_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ImportsList_open_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ImportsList_open_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ImportsList_open_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ImportsList_open_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ImportsList_open_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ImportsList_open_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ImportsList_open_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ImportsList_open_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ImportsList_open_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ImportsList_open_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ImportsList_close_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_close_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_close_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_close_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_close_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_close_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_close_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_close_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_close_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_close_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_close_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_close_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_close_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_close_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_close_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_close_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Close,Embedding component derived from imported API/function names associated with closing handles or resources.
f_ImportsList_create_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_create_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_create_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_create_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_create_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_create_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_create_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_create_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_create_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_create_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_create_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_create_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_create_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_create_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_create_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_create_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Create,"Embedding component derived from imported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ImportsList_resume_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_resume_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_resume_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_resume_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_resume_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_resume_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_resume_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_resume_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_resume_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_resume_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_resume_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_resume_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_resume_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_resume_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_resume_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_resume_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Resume,Embedding component derived from imported API/function names associated with resuming execution of processes or threads.
f_ImportsList_kill_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_kill_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_kill_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_kill_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_kill_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_kill_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_kill_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_kill_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_kill_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_kill_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_kill_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_kill_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_kill_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_kill_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_kill_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_kill_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Kill,"Embedding component derived from imported API/function names associated with terminating processes, threads, or other resources."
f_ImportsList_call_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_call_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_call_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_call_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_call_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_call_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_call_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_call_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_call_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_call_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_call_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_call_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_call_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_call_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_call_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_call_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Call,Embedding component derived from imported API/function names associated with invocation or execution behavior.
f_ImportsList_delete_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_delete_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_delete_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_delete_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_delete_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_delete_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_delete_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_delete_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_delete_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_delete_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_delete_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_delete_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_delete_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_delete_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_delete_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_delete_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Delete,"Embedding component derived from imported API/function names associated with deleting files, registry entries, or other resources."
f_ImportsList_other_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ImportsList_other_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ImportsList_other_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ImportsList_other_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ImportsList_other_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ImportsList_other_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ImportsList_other_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ImportsList_other_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ImportsList_other_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ImportsList_other_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ImportsList_other_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ImportsList_other_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ImportsList_other_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ImportsList_other_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ImportsList_other_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ImportsList_other_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Other,Embedding component derived from imported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_open_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_open_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_open_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_open_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_open_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_open_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_open_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_open_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_open_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_open_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_open_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_open_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_open_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_open_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_open_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_open_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Open,"Embedding component derived from exported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ExportsList_close_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_close_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_close_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_close_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_close_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_close_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_close_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_close_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_close_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_close_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_close_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_close_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_close_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_close_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_close_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_close_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Close,Embedding component derived from exported API/function names associated with closing handles or resources.
f_ExportsList_create_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ExportsList_create_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ExportsList_create_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ExportsList_create_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ExportsList_create_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ExportsList_create_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ExportsList_create_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
